"code","description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","lun","mar","mer","jeu","ven","sam","dim","daily","special_days","restrict_typ"
"SB-AT","\P 06h-07h LUNDI, JEUDI, 1 MARS AU 1 DEC.",03-01,12-01,,6,7,1,1,,,1,,,,,,
"SB-AT-A","\P 06h-07h LUNDI, JEUDI, 1 AVRIL AU 1 DEC.",04-01,12-01,,6,7,1,1,,,1,,,,,,
"SB-AU","\P 10h30-11h30 MARDI, JEUDI",,,,"10.5","11.5",1,,1,,1,,,,,,
"SB-AW","\P 07h-09h LUN ET MER 1 MARS AU 1 DEC.",03-01,12-01,,7,9,2,1,,1,,,,,,,
"SB-AW-A","\P 07h-09h LUN ET MER 1 AVRIL AU 1 DEC.",04-01,12-01,,7,9,2,1,,1,,,,,,,
"SB-AY","STAT. INT. MAR ET VEN DE 10H30 - 11H30",,,,"10.5","11.5",1,,1,,,1,,,,,
"SB-AZ-A","\P 08h30-11h30 LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,"8.5","11.5",3,1,,1,,,,,,,
"SB-BA-A","\P 08h-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,"9.5","1.5",,1,,1,,,,,,
"SB-BA-A+F","\P 08h-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,"9.5","1.5",,1,,1,,,,,,
"SB-BB-A","\P 08h30-11h30 MAR. JEU. 1 AVRIL AU 1 DEC",04-01,12-01,,"8.5","11.5",3,,1,,1,,,,,,
"SB-BD","\P 09h-12h MARDI JEUDI",,,,9,12,3,,1,,1,,,,,,
"SB-BE-A","\P 07h30-08h30 MER. VEN. 1 AVRIL AU 1 DEC.",04-01,12-01,,"7.5","8.5",1,,,1,,1,,,,,
"SB-BF","\P 07h-09h LUN. MER. 1 MARS AU 1 DEC.",03-01,12-01,,7,9,2,1,,1,,,,,,,
"SB-BF-A","\P 07h-09h LUN. MER. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,9,2,1,,1,,,,,,,
"SB-BG","\P 07h-09h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,7,9,2,,1,,1,,,,,,
"SB-BG-A","\P 07h-09h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,9,2,,1,,1,,,,,,
"SB-BJ","\P 09h-11h LUN. JEU.",,,,9,11,2,1,,,1,,,,,,
"SB-BK","\P 09h-11h MAR. MER.",,,,9,11,2,,1,1,,,,,,,
"SB-BL-A","\P 07h-08h MER. VEN. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,8,1,,,1,,1,,,,,
"SB-DB","\P 13h-15h30 MARDI, VENDREDI",,,,13,"15.5","2.5",,1,,,1,,,,,
"SB-EB","\P 17h-18h MER. VEN. 1ER MARS AU 1ER DEC.",03-01,12-01,,17,18,1,,,1,,1,,,,,
"SB-FA","\P 19h30-20h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"19.5","20.5",1,1,,,1,,,,,,
"SB-FA-A","\P 19h30-20h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"19.5","20.5",1,1,,,1,,,,,,
"SB-JA","\P 08h-09h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,8,9,1,1,,,1,,,,,,
"SB-JA-A","\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,9,1,1,,,1,,,,,,
"SB-JA-A+F","\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,8,9,1,1,,,1,,,,,,
"SB-JB","\P 08h30-09h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"8.5","9.5",1,1,,,1,,,,,,
"SB-JB-A","\P 08h30-09h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"8.5","9.5",1,1,,,1,,,,,,
"SB-JC","\P 09h-10h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,9,10,1,1,,,1,,,,,,
"SB-JC-A","\P 09h-10h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,9,10,1,1,,,1,,,,,,
"SB-JD","\P 09h30-10h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"9.5","10.5",1,1,,,1,,,,,,
"SB-JD-A","\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"9.5","10.5",1,1,,,1,,,,,,
"SB-JE","\P 10h-11h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,10,11,1,1,,,1,,,,,,
"SB-JE-A","\P 10h-11h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,10,11,1,1,,,1,,,,,,
"SB-JF","\P 10h30-11h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"10.5","11.5",1,1,,,1,,,,,,
"SB-JF-A","\P 10h30-11h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"10.5","11.5",1,1,,,1,,,,,,
"SB-JG","\P 11h-12h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,11,12,1,1,,,1,,,,,,
"SB-JH","\P 11h30-12h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"11.5","12.5",1,1,,,1,,,,,,
"SB-JH-A","\P 11h30-12h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"11.5","12.5",1,1,,,1,,,,,,
"SB-JI","\P 09h30-17h MAR. VEN.",,,,"9.5",17,"7.5",,1,,,1,,,,,
"SB-JJ","\P 12h-13h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,12,13,1,1,,,1,,,,,,
"SB-JJ-A","\P 12h-13h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,12,13,1,1,,,1,,,,,,
"SB-JK","\P 12h30-13h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"12.5","13.5",1,1,,,1,,,,,,
"SB-JK-A","\P 12h30-13h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"12.5","13.5",1,1,,,1,,,,,,
"SB-JL","\P 09h-17h MAR. VEN.",,,,9,17,8,,1,,,1,,,,,
"SB-JM","\P 13h30-14h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"13.5","14.5",1,1,,,1,,,,,,
"SB-JM-A","\P 13h30-14h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"13.5","14.5",1,1,,,1,,,,,,
"SB-JN","\P 09h-18h MAR. JEU.",,,,9,18,9,,1,,1,,,,,,
"SB-JO","\P 14h30-15h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"14.5","15.5",1,1,,,1,,,,,,
"SB-JO-A","\P 14h30-15h30 LUN. JEU. 1AVRIL AU 1 DEC.",04-01,12-01,,"14.5","15.5",1,1,,,1,,,,,,
"SB-JR","\P 16h-17h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,16,17,1,1,,,1,,,,,,
"SB-JS","\P 13h-14h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,13,14,1,1,,,1,,,,,,
"SB-JS-A","\P 13h-14h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,13,14,1,1,,,1,,,,,,
"SB-JT","\P 14h-15h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,14,15,1,1,,,1,,,,,,
"SB-JT-A","\P 14h-15h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,14,15,1,1,,,1,,,,,,
"SB-JU","\P 17h30-18h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"17.5","18.5",1,1,,,1,,,,,,
"SB-JU-A","\P 17h30-18h30 LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,"17.5","18.5",1,1,,,1,,,,,,
"SB-JV","\P 09h-17h MAR. JEU.",,,,9,17,8,,1,,1,,,,,,
"SB-JW","\P 17h-18h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,17,18,1,1,,,1,,,,,,
"SB-JW-A","\P 17h-18h LUN. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,17,18,1,1,,,1,,,,,,
"SB-JX","\P 08h-09h LUN. VEN. 1 MARS AU 1 DEC.",03-01,12-01,,8,9,1,1,,,,1,,,,,
"SB-JY","\P 16h30-17h30 MAR. VEN. 1 MARS AU 1 DEC.",03-01,12-01,,"16.5","17.5",1,,1,,,1,,,,,
"SB-JZ","\P 08h-16h MAR. JEU.",,,,8,16,8,,1,,1,,,,,,
