name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,active
Hôpital Sainte-Justine,Vinci,"3175, chemin de la Côte-Sainte-Catherine",,"0,24","0,24","0,24","0,24","0,24",,,10,25,,,,,,,"0,24","0,24",10,11,,,,,,,,,FALSE,TRUE,TRUE,TRUE,45.503447,-73.623442,1205,45.503447,-73.623442,0,TRUE
Le Westin,Vinci,"270, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",20,20,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.503588,-73.559757,175,45.503588,-73.559757,0,TRUE
Novotel,Vinci,"1180, rue de la Montagne",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,28,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.496845,-73.573183,100,45.496845,-73.573183,0,TRUE
Place Bonaventure,Vinci,"800, rue de la Gauchetière Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,22,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.498629,-73.565683,750,45.498629,-73.565683,0,TRUE
Place du Parc,Vinci,"300, rue Léo-Pariseau",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",11,20,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.511144,-73.576387,890,45.511144,-73.576387,0,TRUE
Place du Quartier,Vinci,"1111, rue Saint-Urbain",,"0,24","0,24","0,24","0,24","0,24",,,8,15,,,,,,,"0,24","0,24",8,9,,,,,,,,,TRUE,FALSE,FALSE,FALSE,45.507312,-73.561385,130,45.507312,-73.561385,0,TRUE
Place Dupuis,Vinci,"800, boulevard de Maisonneuve Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",11.25,22,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.515799,-73.559194,400,45.515799,-73.559194,0,TRUE
Place Montréal Trust,Vinci,"1500, avenue McGill College",,"0,24","0,24","0,24","0,24","0,24",,,12,21,,,,,,,"0,24","0,24",12,7,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.501907,-73.572373,307,45.501907,-73.572373,0,TRUE
Place Ville-Marie,Vinci,1 Place Ville-Marie,,"0,24","0,24","0,24","0,24","0,24",,,11.25,24,,,,,,,"0,24","0,24",11.25,7,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.50148,-73.570083,916,45.50148,-73.570083,0,TRUE
Polyclinique Cabrini,Vinci,"5700, rue Saint-Zotique Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,15,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.579756,-73.568939,58,45.579756,-73.568939,0,TRUE
Quartier International,Vinci,"249, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,8.5,24,,,,,,,"0,24","0,24",8.5,9,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.504117,-73.559856,1276,45.504117,-73.559856,0,TRUE
Reddy Memorial Hospital,Vinci,"4039, rue Tupper",,"0,24","0,24","0,24","0,24","0,24",,,7,12,,,,,,,"0,24","0,24",7,6,,,,,,,,,FALSE,FALSE,FALSE,FALSE,45.487726,-73.58568,80,45.487726,-73.58568,0,TRUE
