"ID","Code","Description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","LUN","MAR","MER","JEU","VEN","SAM","DIM","DAILY","special_days","restrict_type"
201,"SB-ML-A","\P 21h30-22h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,21.5,22.5,1,1,,,1,,,,,,
202,"SB-MM","\P 13h30-14h30 MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,13.5,14.5,1,,1,,1,,,,,,
203,"SB-MO-A","\P 14h30-15h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,14.5,15.5,1,,1,,1,,,,,,
204,"SB-MO-A+F","\P 14h30-15h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,14.5,15.5,1,,1,,1,,,,,,
205,"SB-MR-A","\P 16h-17h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,16,17,1,,1,,1,,,,,,
206,"SB-MR-A+F","\P 16h-17h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,16,17,1,,1,,1,,,,,,
207,"SB-MS","\P 13h-14h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,13,14,1,,1,,1,,,,,,
208,"SB-MT","\P 14h-15h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,14,15,1,,1,,1,,,,,,
209,"SB-MT-A+F","\P 14h-15h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,14,15,1,,1,,1,,,,,,
210,"SB-MU","\P 07h-08h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,7,8,1,1,,,1,,,,,,
211,"SB-MU-A","\P 07h-08h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,8,1,1,,,1,,,,,,
212,"SB-MV","\P 07h30-08h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,7.5,8.5,1,1,,,1,,,,,,
213,"SB-MV-A","\P 07h30-08h30 LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,7.5,8.5,1,1,,,1,,,,,,
214,"SB-MW","\P 17h30-18h30 MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,17.5,18.5,1,,1,,1,,,,,,
215,"SB-MW-A","\P 17h30-18h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,17.5,18.5,1,,1,,1,,,,,,
