name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active
Place du Quartier,Vinci,"1111, rue Saint-Urbain",,"0,24","0,24","0,24","0,24","0,24",,,8,15,,,,,,,"0,24","0,24",8,9,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,45.507312,-73.561385,130,45.5071715,-73.5614535,81.76,jYZftgGm4Xxhehuu4_0QLQ,TRUE
Place Dupuis,Vinci,"800, boulevard de Maisonneuve Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",11.25,22,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.515799,-73.559194,400,45.51564,-73.5593044,353.49,n0HsU-2fuhWgGnIbxionOQ,TRUE
Place Montréal Trust,Vinci,"1500, avenue McGill College",,"0,24","0,24","0,24","0,24","0,24",,,12,21,,,,,,,"0,24","0,24",12,7,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.501907,-73.572373,307,45.5018112,-73.5725582,6.27,iYA_2BSeYtGJ7Ksu-JvVvw,TRUE
Place Ville-Marie,Vinci,1 Place Ville-Marie,,"0,24","0,24","0,24","0,24","0,24",,,11.25,24,,,,,,,"0,24","0,24",11.25,7,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.50148,-73.570083,916,45.5014889,-73.5702094,126.14,4L6kcP0e50GyTeRxmZBRVw,TRUE
Polyclinique Cabrini,Vinci,"5700, rue Saint-Zotique Est",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,15,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.579756,-73.568939,58,45.5796656,-73.5692645,66.32,HR3Ie5B_8gySaXKGiyWFlg,TRUE
Quartier International,Vinci,"249, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,8.5,24,,,,,,,"0,24","0,24",8.5,9,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.504117,-73.559856,1276,45.503965,-73.5597477,344.66,pfdFEBJh8a-3qLWdUsfLgA,TRUE
Reddy Memorial Hospital,Vinci,"4039, rue Tupper",,"0,24","0,24","0,24","0,24","0,24",,,7,12,,,,,,,"0,24","0,24",7,6,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,45.487726,-73.58568,80,45.4876663,-73.5852949,258.32,d8vrNB0n8bY3yF1gOdlO7Q,TRUE
St François Xavier,Vinci,"420, rue Saint-François-Xavier",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.502849,-73.555746,120,45.5029117,-73.5555801,321.54,m7xWrJros85B2-Tga6wo8A,TRUE
St Paul,Vinci,"715, rue William",,"0,24","0,24","0,24","0,24","0,24",,,,13,,,,,,,"0,24","0,24",,10,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.498893,-73.557393,155,45.4988097,-73.5571913,269.22,gEQdhhrOsFmK9I-6MUxfOA,TRUE
St Sacrement / Nicholas,Vinci,"230, rue du Saint-Sacrement",,"0,24","0,24","0,24","0,24","0,24",,,,17,,,,,,,"0,24","0,24",,15,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.502646,-73.556396,100,45.502367,-73.5566262,14.28,KqmEM7b3qgDwudcyzeO-hw,TRUE
